,type,tag_name,discription,sheet_name,label,비고
43,Turbine1,M1.BORE_LA_1,BFPT-A SPEED,BFPT_A_bfpt_turbine_performance,BFPT_A_tbn_performance,
44,Turbine1,M1.BORE_LA_2,BFPT-A EXH TO   COND-A PRESS,BFPT_A_bfpt_turbine_performance,BFPT_A_tbn_performance,
45,Turbine1,M1.BORE_LA_3,BFPT-A EXH TO CO STM TEMP,BFPT_A_bfpt_turbine_performance,BFPT_A_tbn_performance,
46,Turbine1,M1.BORE_STR_1,BFPT-A EXH TO CO STM TEMP,BFPT_A_bfpt_turbine_performance,BFPT_A_tbn_performance,
47,Turbine1,M1.BORE_STR_2,CV POSITION -BFPTA,BFPT_A_bfpt_turbine_performance,BFPT_A_tbn_performance,
48,Turbine1,M1.BORE_STR_3,IP EXT TO BFPT-A SF,BFPT_A_bfpt_turbine_performance,BFPT_A_tbn_performance,
49,Turbine1,M1.BP_LUB,IP EXT TO       DEA/BFPT SP,BFPT_A_bfpt_turbine_performance,BFPT_A_tbn_performance,
50,Turbine1,M1.BP_LUB2,IP EXT TO BFPT-A STM TEMP,BFPT_A_bfpt_turbine_performance,BFPT_A_tbn_performance,
51,Turbine1,M1.BP_WEAR,BFPT-A SPEED,BFPT_A_bfpt_turbine_performance,BFPT_A_tbn_performance,
52,Turbine1,M1.BT_BFA,BFPT-A SPEED,BFPT_A_bfpt_turbine_performance,BFPT_A_tbn_performance,
53,Turbine1,M1.BT_BFB,BFPT-A DISCH    PRESS 1A,BFPT_A_bfpt_pump_performance,BFPT_A_pump_performance,
54,Turbine1,M1.BT_BOC,BFPT-A DISCH    PRESS 2A,BFPT_A_bfpt_pump_performance,BFPT_A_pump_performance,
55,Turbine1,M1.BT_BOC1,BFPT-A DISCH    PRESS,BFPT_A_bfpt_pump_performance,BFPT_A_pump_performance,
56,Turbine1,M1.BUS_VOLTS_AB,BFPT-A DISCH    TEMP,BFPT_A_bfpt_pump_performance,BFPT_A_pump_performance,
57,Turbine1,M1.BUS_VOLTS_BC,FW MASTER STATION    [BIAS],BFPT_A_bfpt_pump_performance,BFPT_A_pump_performance,FEEDWATER_MASTER_CONTROL
58,Turbine1,M1.BUS_VOLTS_CA,FW TANK LEVEL   (01),BFPT_A_bfpt_pump_performance,BFPT_A_pump_performance,
59,Turbine1,M1.CHST_MSP_PCT,FW TANK LEVEL   (02),BFPT_A_bfpt_pump_performance,BFPT_A_pump_performance,
60,Turbine1,M1.CLE_HP,"UNIT LOAD (MW,  ACTUAL)",BFPT_A_bfpt_pump_performance,BFPT_A_pump_performance,GENERATOR_WATTS
61,Turbine1,M1.CLE_RH,BFPT-A MINIMUM  FCV  CO,BFPT_A_bfpt_pump_performance,BFPT_A_pump_performance,MIN_FCV_DEMAND
62,Turbine1,M1.CLE_XO,BFPT-A MINI FLOW CV POSN,BFPT_A_bfpt_pump_performance,BFPT_A_pump_performance,
63,Turbine1,M1.CP_CHST,BFPT-A PUMP THRUST VIB (135)[42-2-75],BFPT_A_bfpt_pump_performance,BFPT_A_pump_performance,PUMP_AXIAL_POSITION_1
64,Turbine1,M1.CV1POS,BFPT-A PUMP THRUST VIB (136)[42-2-75],BFPT_A_bfpt_pump_performance,BFPT_A_pump_performance,PUMP_AXIAL_POSITION_2
65,Turbine1,M1.CV1REF,BFPT-A SPEED,BFPT_A_bfpt_pump_performance,BFPT_A_pump_performance,
66,Turbine1,M1.CV2POS,BFPT-A SUCT FLOW 1A,BFPT_A_bfpt_pump_performance,BFPT_A_pump_performance,
67,Turbine1,M1.CV2REF,BFPT-A SUCT FLOW 2A,BFPT_A_bfpt_pump_performance,BFPT_A_pump_performance,
68,Turbine1,M1.CV3POS,BFPT-A SUCT     PRESS SEL,BFPT_A_bfpt_pump_performance,BFPT_A_pump_performance,
69,Turbine1,M1.CV3REF,BFPT-A BSTR PP  SUCT TEMP,BFPT_A_bfpt_pump_performance,BFPT_A_pump_performance,
70,Turbine1,M1.CV4POS,BFPT-A SPEED,BFPT_A_bfpt_pump_performance,BFPT_A_pump_performance,
71,Turbine1,M1.CV4REF,BFPT-A SPEED,BFPT_A_bfpt_pump_performance,BFPT_A_pump_performance,
72,Turbine1,M1.CVR,BFPM DISCH      PRESSURE,BFPM_bfpm_performance,BFPM performance,
73,Turbine1,M1.CVRP_BFPA,BFPM DISCH TEMP,BFPM_bfpm_performance,BFPM performance,
74,Turbine1,M1.CVRP_BFPB,FW TANK LEVEL   (01),BFPM_bfpm_performance,BFPM performance,
75,Turbine1,M1.CVR_VPL,FW TANK LEVEL   (02),BFPM_bfpm_performance,BFPM performance,
76,Turbine1,M1.CVR_VPL_CMD,"UNIT LOAD (MW,  ACTUAL)",BFPM_bfpm_performance,BFPM performance,GENERATOR_WATTS
